country,geo_id,chatgpt_adoption_pct,source
India,IND,45,BCG 2023
Morocco,MAR,38,BCG 2023
United Arab Emirates,ARE,34,BCG 2023
Argentina,ARG,32,BCG 2023
Brazil,BRA,32,BCG 2023
Indonesia,IDN,32,BCG 2023
South Africa,ZAF,31,BCG 2023
Philippines,PHL,28,BCG 2023
Sweden,SWE,27,BCG 2023
South Korea,KOR,26,BCG 2023
Turkey,TUR,23,BCG 2023
United States,USA,23,BCG 2023
Australia,AUS,22,BCG 2023
Mexico,MEX,22,BCG 2023
United Kingdom,GBR,22,BCG 2023
Japan,JPN,19,BCG 2023
China,CHN,18,BCG 2023
France,FRA,18,BCG 2023
Germany,DEU,18,BCG 2023
Saudi Arabia,SAU,18,BCG 2023
Thailand,THA,14,BCG 2023
