"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.028493276","","","2.22972096","3.777528741","4.155977424","6.377808073","13.81422174","16.8993","58.69","67.6304","75.7794","105.553","109.75","114.297","117.6","123.517","129.26","131.65","","132.661","135.338","135.142","135.337","","","","131.682","131.285","131.092","130.648","","",
"Africa Eastern and Southern","AFE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00134257553672072","0.00258214265567223","0.00306012952109055","0.00582416440279694","0.0160281568745268","0.117720610098511","0.164300729636764","0.285421858668388","0.537893874347061","0.963135057510966","1.5364967739772","2.53187461998447","3.48511266478186","4.59739340752445","6.07988901464806","8.01544755486436","12.59131987433","16.9490525169552","21.6849919782563","28.1203044455646","32.6088889551093","38.5271319772483","48.0159935090946","52.7679765565158","57.6880768277277","61.9358160623131","66.5","63.6","63.5","65.2","67.9","70.3","74.7","77.7","81.3","",
"Afghanistan","AFG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.116942","0.879776","2.54662","4.91711","9.9133","18.0167","29.8268","38.2289","36.1187","47.0152","50.1967","53.149","56.1322","58.256","62.2553","67.0508","59.8109","59.6471","58.0461","56.6945","56.2655","55.5475","",
"Africa Western and Central","AFW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000405567623636312","0.00558115607144699","0.00959570091410311","0.0125531304913285","0.025856289147414","0.0465887994019213","0.0980257325747414","0.20622679893449","0.530892742687222","1.04987624556741","2.09477956084382","3.32309173202265","6.46046333370717","11.1025063085919","18.7872335012222","25.0392998212097","36.8661001562175","44.3449799979514","52.27223728058","58.249872484352","67.1094646656648","75.0120031475166","80.2975320892204","83.3","82.9","81.4","87.8","91.3","96.7","95","102.1","100.8","",
"Angola","AGO","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008436702","0.013549219","0.01433269","0.02292929","0.04742069","0.063903735","0.151221568","0.159347","0.447836","0.807955","1.95054","3.9784","8.35159","15.2614","23.8782","31.3891","36.1789","40.3668","49.8515","50.7801","50.7735","51.7384","49.3097","44.5502","44.0682","42.4589","45.8065","43.7804","44.3869","66.6008","70.052","",
"Albania","ALB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.070307774","0.101422403","0.173257946","0.343114336","0.940923","12.4732","27.153","35.278","40.6495","49.7453","62.6026","76.8284","62.1342","83.1929","91.9299","106.474","120.275","126.772","115.701","117.33","116.284","125.1","93.8031","91.1635","91.1881","92.4843","98.395","92.9973","",
"Andorra","AND","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.344203341","1.318547569","1.284466799","4.489257564","8.555349432","13.32364491","21.65649066","31.37613282","35.8423","44.6896","49.3038","74.6812","78.5281","83.3882","86.7048","77.559","76.8932","76.9466","81.1526","83.6224","83.1208","85.0214","89.8341","98.8389","105.474","108.912","109.915","114.953","103.877","119.688","142.426","156.097","",
"Arab World","ARB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0.00139135029448582","0.00206452793552855","0.00277542509376027","0.00454385232052265","0.011489686324028","0.0174495848946617","0.0198658484390306","0.0288731721004244","0.0391611129825038","0.0567169465116559","0.0642451336720986","0.0818781227277993","0.105305831302216","0.197651290165998","0.354623216561879","0.608151128959064","0.928146209147479","1.47667988359235","3.14235571585315","5.674469873018","8.4137897725289","11.4425320694818","16.6252188547319","26.4479394294001","38.2910994488433","51.6630400128938","61.7078304449257","74.4957914017246","85.6094564648384","94.4751848643954","100.300841931146","104.741398824987","104.242109611802","102.997439000868","100.424978952655","98.1963031894916","96.4014579839673","96.7326519819152","96.2300336647374","99.2339505781343","102.925568544421","","",
"United Arab Emirates","ARE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","0.199510899","0.287983245","0.377274558","0.574396029","0.761967402","0.870037547","0.820998752","1.392200196","1.767122718","2.14142422","2.311609649","3.174853055","3.928169053","5.298629246","7.534161116","11.26583053","16.88654733","26.86844465","40.8783","51.2759","61.3641","70.8971","83.1597","97.1993","110.185","137.458","148.473","159.114","157.473","162.894","183.741","205.105","204.192","206.839","220.412","214.701","214.842","209.033","194.468","186.301","195.625","199.424","",
"Argentina","ARG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007150459","0.036767345","0.075515553","0.13879172","0.329148059","0.6992523","1.160057586","1.884803688","5.609433289","7.371312411","10.50082052","17.4342","17.9185","17.2676","20.4096","34.8114","56.4973","79.5273","100.962","115.052","128.462","138.252","145.511","152.574","158.191","142.325","142.241","145.147","139.758","131.224","125.303","121.181","130.353","131.484","137.706","",
